episod,total_reward
240,16.1882857999
241,15.6357434643
242,15.6868268135
243,15.5571293139
244,15.9578392316
245,16.5917289617
246,15.4797640339
247,15.4012270901
248,15.4147049274
249,15.8053594702
250,15.2887620785
251,15.912161468
252,15.3220787013
253,15.2585853615
254,15.2824993915
255,15.266043031
256,15.2404230643
257,15.2251215545
258,15.2915716176
259,15.2664794784
260,15.2416365827
261,15.2344482772
262,15.223726809
263,15.2776559721
264,15.209191247
265,15.2459792762
266,15.2418988897
267,15.2663690167
268,15.2746154503
269,15.2522409789
270,15.2439542822
271,15.2039896948
272,15.2705318169
273,15.2729764684
274,15.2532108019
275,15.2603366073
276,15.2438350071
277,15.251529307
278,15.263827616
279,15.2947998548
280,15.2667224809
281,15.2652562339
282,15.2561963404
283,15.2554599224
284,15.268101768
285,15.2747260773
286,15.2795813222
287,15.2503980286
288,15.2668858826
289,15.2750592665
290,15.2810038786
291,15.2348759966
292,15.2230580611
293,15.2929138621
294,15.2676152956
295,15.2334568774
296,15.2641577497
297,15.1914037824
298,15.2647070452
299,15.2409893729
300,15.3263311413
301,15.2128911832
302,15.301344465
303,15.2827996641
304,15.2624553554
305,15.222226697
306,15.2265006148
307,15.2282073241
308,15.1760832934
309,15.2764279604
310,15.2192356079
311,15.2357460278
312,15.2233119054
313,15.2798328658
314,15.1717531288
315,15.2280794872
316,15.2824968179
317,15.2259680798
318,15.2898707638
319,15.2859319909
320,15.2130806591
321,15.2246141492
322,15.2293149162
323,15.2890203019
324,15.2995156231
325,15.2201748207
326,15.2608423816
327,15.2356718401
328,15.2099690909
329,15.2469307605
330,15.31628828
331,15.2268209844
332,15.290720217
333,15.2267438835
334,15.3005667374
335,15.2638682001
336,15.2345321066
337,15.2215907292
338,15.3291452836
339,15.2482550078
340,15.2261809873
341,15.2310067669
342,15.2412555166
343,15.2279473753
344,15.2912361554
345,15.2861782786
346,15.2910852767
347,15.2802304156
348,15.2528193194
349,15.2197897292
350,15.2567801384
351,15.2288151637
352,15.1895916585
353,15.2246402804
354,15.2328919022
355,15.2362810451
356,15.2434407663
357,15.2793236713
358,15.2992030638
359,15.2102011743
360,15.2947095763
361,15.2106525287
362,15.209478993
363,15.2807766024
364,15.2914881706
365,15.2925148104
366,15.2963188517
367,15.2566799646
368,15.3002194487
369,15.2353529075
370,15.3112675437
371,15.256460525
372,15.242712457
373,15.2605173197
374,15.2568170387
375,15.1907478907
376,15.2114599351
377,15.2680801424
378,15.2888329461
379,15.2572772977
380,15.2488894998
381,15.1959791287
382,15.2219871994
383,15.2392486581
384,15.2211167733
385,15.2283213561
386,15.2230437875
387,15.2462689317
388,15.1996283558
389,11.081975564
390,22.2592118754
391,21.2815749437
392,23.7919219007
393,16.2561602494
394,23.7953241189
395,15.325000858
396,25.1247993979
397,20.3476975063
398,16.5461967169
399,16.8559443664
400,23.6820706502
401,16.2020612262
402,17.4225286827
403,14.4044439096
404,25.3333180337
405,16.2842731439
406,15.4280815513
407,16.2887382256
408,13.9252857305
409,21.6535188781
410,19.4463489401
411,13.7376438977
412,16.1305481627
413,17.5840400496
414,14.3740071537
415,16.5645624667
416,13.0462663392
417,20.7269381512
418,13.5643498488
419,23.3203560798
420,16.1365043659
421,16.1295496146
422,17.9852756169
423,13.6695065444
424,13.076791126
425,12.4992516878
426,21.7058420861
427,12.9680043084
428,14.124062004
429,15.3703586168
430,16.7714380833
431,23.3977553634
432,14.9194255047
433,15.0129759292
434,15.6048374916
435,12.7167491049
436,12.4469256221
437,16.4840337507
438,14.247499142
439,21.0622581108
440,12.2517743697
441,22.7428186921
442,12.6993936449
443,16.626115301
444,12.9969756884
445,14.904755545
446,15.0823509981
447,13.0222122631
448,11.8148049042
449,13.5098835334
450,11.5163041339
451,13.2092759602
452,17.6845980886
453,15.5108627042
454,14.8302553718
455,11.8666076217
456,14.9279147349
457,18.8834697081
458,12.4526765572
459,11.3129065869
460,13.0361946981
461,9.67204967803
462,11.8704244205
463,9.21864882944
464,9.42219920334
465,13.983595169
466,12.3786813132
467,12.5279666744
468,13.2406802793
469,9.9355533422
470,14.8875196705
471,14.4875037967
472,11.1033584691
473,12.6507939721
474,10.1274606406
475,17.4740141286
476,9.93265860765
477,9.45559994496
478,11.278909786
479,11.3096350392
480,10.1689231301
481,10.4300792138
482,12.6683243872
483,14.364023337
484,11.6779539726
485,11.9950708259
486,12.3821881887
487,10.8847568232
488,10.4496784837
489,11.4625410283
490,16.7355961702
491,14.0234094444
492,11.2207069871
493,15.6504941292
494,12.3221941732
495,17.4550622234
496,12.6100014207
497,15.630007745
498,12.5616155014
499,14.1958524008
500,12.8112603573
501,12.1851051307
502,12.7734488004
503,12.7917407319
504,10.4782171257
505,11.8129480552
506,12.7325994803
507,12.8998906343
508,11.8595570422
509,10.5459750824
510,13.2255432528
511,10.9779748248
512,11.170649598
513,11.8266037324
514,12.1379096144
515,12.3645713558
516,13.2679594275
517,11.1051803005
518,10.1714684348
519,11.7081430898
520,11.8492204461
521,12.0505912174
522,12.7709334387
523,13.716610726
524,13.9605526995
525,11.8955009738
526,10.230956404
527,11.3072769286
528,11.0631269996
529,10.7632770142
530,11.4584219695
531,10.9446887433
532,11.2044849378
533,11.2055483851
534,13.1290699104
535,12.6649173847
536,12.847330355
537,10.5353450989
538,13.7110012271
539,13.1804126664
540,12.8728835418
541,12.3437701212
542,13.3403560896
543,11.137556438
544,10.4963688696
545,11.1278561158
546,10.5988400602
547,13.6697446718
548,11.385738912
549,15.9284802537
550,12.3707028115
551,10.8344237438
552,13.366463253
553,11.6465357049
554,12.9542165562
555,13.0071061003
556,15.3026272989
557,12.8472292606
558,12.9799249503
559,13.6453942782
560,14.8730039753
561,13.0869283903
562,12.7203939922
563,17.3398524944
564,18.5948035534
565,20.37879463
566,16.390387252
567,14.379127798
568,14.895368485
569,15.8512649549
570,13.4206738156
571,16.6962926473
572,15.1442272131
573,16.246003847
574,15.4784409851
575,13.0792018493
576,14.2333284814
577,16.780993218
578,13.964149594
579,13.263003697
580,16.306186594
581,13.5148670083
582,14.2645489234
583,13.1391061976
584,14.3193212676
585,13.3835944288
586,16.1392140743
587,13.2748742032
588,13.3545810435
589,14.8144623393
590,13.1521838411
591,14.5529250937
592,12.5910210624
593,14.4073223944
594,14.2685826268
595,14.3247785541
596,14.5536473847
597,20.1336480977
598,17.8848764802
599,20.443647609
600,18.7900507202
601,21.1830076911
602,18.6592332212
603,18.6250485169
604,15.259369053
605,18.4676851099
606,16.1587519475
607,15.5360727217
608,16.4159741078
609,15.2963344717
610,17.4157329565
611,22.7182379791
612,23.084330749
613,17.0204757749
614,15.1884168768
615,15.1556067007
616,15.3002824157
617,15.8697601873
618,18.4452327399
619,15.3096881808
620,15.4237838449
621,15.3250343148
622,19.9451604637
623,16.1724081026
624,15.1132371194
625,15.0908565818
626,15.1782718119
627,15.4092148054
628,15.3248625205
629,14.9113954098
630,15.019297771
631,15.5163173418
632,14.8997351999
633,15.5222227801
634,15.5292047198
635,15.3085708554
636,14.8940681429
637,15.2221699907
638,15.278298525
639,15.2422055998
640,15.180572179
641,15.1075864617
642,15.2374885592
643,15.6123518369
644,15.2854858749
645,14.6959059644
646,15.2026910112
647,14.0768675933
648,14.9202060792
649,14.7191846193
650,14.7898692687
651,13.9174532458
652,14.2240934305
653,15.1626647432
654,15.1605442609
655,15.2471681449
656,14.3577854586
657,15.2008442464
658,15.193269437
659,15.2761765199
660,15.1691018732
661,14.4395371825
662,15.2615709006
663,15.5048208412
664,15.2749230613
665,15.4015151815
666,14.7635189351
667,14.3549719848
668,15.0663804813
669,14.8595763504
670,14.7370825593
671,15.2277702061
672,14.6204329186
673,15.2449525205
674,15.1525296276
675,14.7520161124
676,15.1901597137
677,14.5587681704
678,14.150536529
679,14.2406560026
680,14.2265649884
681,14.2243869632
682,13.88509432
683,15.3254806477
684,15.5865769871
685,15.3949969842
686,13.9831997162
687,15.532859238
688,15.2841205168
689,15.1763064172
690,14.8400271527
691,15.1326020622
692,15.7451265129
693,15.9397242876
694,15.7708170759
695,15.7264257439
696,15.8037664483
697,14.7445545495
698,15.6264722196
699,15.3368315542
700,16.4396768901
701,14.3499732453
702,13.7764316548
703,13.7547559181
704,14.5397725214
705,14.6893193249
706,15.1327932957
707,16.4428330424
708,14.1619901967
709,15.5714679002
710,16.1832059519
711,13.8036002125
712,14.2983561436
713,13.8424621596
714,16.5730561134
715,16.8390760052
716,14.8981100687
717,14.4518963942
718,14.7719012883
719,15.333827473
720,14.4401976898
721,14.4443033074
722,13.5566142735
723,13.606409501
724,13.6421822684
725,13.6669976204
726,13.6012823772
727,12.8624557693
728,14.1231199145
729,14.3525444064
730,14.1371734287
731,15.004908435
732,13.160578092
733,13.5460309408
734,15.6649884683
735,18.1598511459
736,14.4955241828
737,14.587084555
738,13.3217388012
739,14.6404459289
740,14.621572738
741,13.6158092375
742,12.9402669421
743,12.6490215791
744,15.7256759723
745,13.8845517106
746,13.6410994056
747,13.1744792836
748,13.1439640094
749,14.2691482047
750,14.1232038626
751,15.1162413509
752,19.2791056834
753,13.8971500156
754,14.8119228048
755,12.4726145299
756,13.0292651888
757,12.8044432327
758,12.7273481424
759,12.7104468645
760,13.4885267341
761,13.7983013187
762,12.4932937727
763,14.4105496394
