time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.05153110687e-06,1.27424648635e-06,9.98410452453,0.00838932227897,0.0135043633572,0.0,-0.000146372638649,9.09153050898e-05,-0.52993281412,0.279529878398,0.449864309503,0.0,-77.4372988274,-196.985641011,4.89277289494,-142.831171156
0.12000000000000001,-4.45440419469e-05,2.76464456914e-05,9.93637038196,0.0333826830636,0.0538313050338,0.0,-0.00156498973718,0.000970555957,-1.06154310545,0.553168476534,0.893299872385,0.0,-77.9267108073,-196.834858474,4.31026033037,-141.763583457
0.18,-0.000242545420817,0.0001499750991,9.85662198769,0.0742708553053,0.120336339981,0.0,-0.00548472334873,0.00337720807218,-1.59734912107,0.809110565862,1.32175297564,0.0,-78.9957005496,-196.277514662,1.33199391766,-138.053828889
0.23999999999999996,-0.000767047235284,0.00046967693389,9.74453247341,0.129654296526,0.211882142015,0.0,-0.0125115659682,0.00755433850048,-2.13984267859,1.03619539694,1.72740251282,0.0,-80.5211331072,-195.28316213,-4.29418849615,-131.689689924
0.3,-0.00180444950135,0.00108265484728,9.59964017991,0.197503613514,0.326888951541,0.0,-0.0225735603813,0.0130585813865,-2.69094078918,1.22461664847,2.10336197509,0.0,-82.4795007585,-193.838581796,-12.4435736392,-122.789501879
0.36000000000000004,-0.0035263271932,0.00203857327612,9.4214038181,0.275251053743,0.463397226804,0.0,-0.0353409054369,0.0188155899639,-3.25129376294,1.36624239751,2.4438822391,0.0,-84.8326232555,-191.919837632,-22.9280504156,-111.522402217
0.4200000000000001,-0.00609926789588,0.00331192525052,9.20929172889,0.35989673925,0.619139387545,0.0,-0.051108237866,0.0234392685625,-3.81993484998,1.45478600324,2.74445101278,0.0,-87.5287189493,-189.492321057,-35.5035924468,-98.1008159859
0.48000000000000015,-0.0097488904289,0.00479242644004,8.96286626589,0.448120860361,0.791614823111,0.0,-0.0715975571625,0.0254893745659,-4.39484444798,1.48583678393,3.00180357449,0.0,-90.502615578,-186.512120876,-49.8803636077,-82.7726367002
0.5400000000000001,-0.0148446234389,0.00627647012332,8.68180784472,0.536394057215,0.978163592632,0.0,-0.0997084821335,0.0232090888165,-4.97429579053,1.45677442998,3.21387132421,0.0,-93.6751137033,-182.928714736,-65.7354666042,-65.8131114442
0.6000000000000002,-0.0219212492622,0.00742811954613,8.36586300147,0.621079661266,1.17603576179,0.0,-0.13767543496,0.013870078106,-5.55783209061,1.36658994027,3.37969149241,0.0,-96.9524137959,-178.687532188,-82.7276631596,-47.515464511
0.6600000000000003,-0.0315613203148,0.00771427499546,8.01477714947,0.698522944158,1.38245447025,0.0,-0.184529924624,-0.00624762965279,-6.14571801262,1.21563800127,3.4992988879,0.0,-100.227245114,-173.73016818,-100.51149634,-28.1799448494
0.7200000000000003,-0.0441562941079,0.00638297663382,7.62830196769,0.765124705079,1.59467310564,0.0,-0.234904973131,-0.0403683795844,-6.73719458516,1.00537626929,3.57362153704,0.0,-103.383610124,-167.991839219,-118.746259505,-8.10368077032
0.7800000000000004,-0.0596741715096,0.00256304673033,7.20630096922,0.817401837924,1.81002089336,0.0,-0.280483907802,-0.0889044257267,-7.32922243569,0.738166872793,3.60421805104,0.0,-106.306328814,-161.399312696,-137.096095681,12.424561624
0.8400000000000004,-0.0775751583985,-0.00451836891323,6.74888294328,0.852032323175,2.02593601634,0.0,-0.31318905905,-0.148105230868,-7.91684367283,0.416982603798,3.59311371413,0.0,-108.894066938,-153.873996812,-155.222486592,33.1229549166
0.9000000000000005,-0.0969153898621,-0.0152931441111,6.25647796339,0.865889774226,2.23998956254,0.0,-0.327957562764,-0.210567514649,-8.49452578898,0.0453559644288,3.54272995569,0.0,-111.071413308,-145.341273004,-172.775716466,53.7113112626
0.9600000000000005,-0.116570823579,-0.0296782422642,5.7298405658,0.856083435099,2.44991322901,0.0,-0.323918773314,-0.26681585253,-9.05705058284,-0.372078190153,3.45595281088,0.0,-112.794923528,-135.742214579,-189.39303405,73.9072881071
1.0200000000000005,-0.135494007638,-0.0469991930691,5.17003366064,0.820170405163,2.65362340325,0.0,-0.304478276208,-0.306868013016,-9.59926046586,-0.824098965448,3.33603420715,0.0,-114.051046507,-125.042880948,-204.706767382,93.4274518613
1.0800000000000005,-0.152970477048,-0.0660078837355,4.57845006796,0.756571718172,2.84924444696,0.0,-0.277311001469,-0.321922242098,-10.1152231972,-1.29404039666,3.18664093456,0.0,-114.846081243,-113.240592699,-218.365480327,111.999220604
1.1400000000000006,-0.168869269782,-0.0850301072783,3.9568658804,0.664768698555,3.03513624103,0.0,-0.254011668696,-0.307089735301,-10.5982497758,-1.7633646193,3.01194764069,0.0,-115.192349527,-100.370485217,-230.069134506,129.383908419
1.2000000000000006,-0.183821588883,-0.102306665423,3.30743045448,0.545369601639,3.20992750091,0.0,-0.247794352496,-0.264898446241,-11.0431137201,-2.21318498599,2.81673666467,0.0,-115.095153459,-86.5078501022,-239.60094666,145.392247938
1.2600000000000007,-0.199172294507,-0.116508184083,2.63245709667,0.400079954925,3.37255423041,0.0,-0.268255226035,-0.207110071172,-11.450254594,-2.62593394404,2.60647024946,0.0,-114.539468254,-71.7613912205,-246.852690149,159.900774975
1.3200000000000007,-0.216570169654,-0.127236778193,1.93396535538,0.231576931494,3.52230063277,0.0,-0.315116689117,-0.152271768865,-11.8293169923,-2.98686626389,2.38730092094,0.0,-113.483306979,-56.2545395124,-251.841363679,172.869757732
